,freq
candle,149
flame,138
lit,64
burning,63
dark,62
environment,62
dimly,43
candles,33
room,26
background,24
surface,23
festive,19
setting,19
candlelight,16
wooden,16
red,15
table,13
illuminates,12
pine,10
warm,10
rustic,9
glass,8
holder,8
surrounded,8
cake,7
branches,6
creating,6
reflective,6
serene,6
softly,6
ambiance,5
birthday,5
black,5
bokeh-lit,5
chocolate,5
dinner,5
flames,5
textured,5
brightly,4
christmas,4
green,4
greenery,4
holding,4
holiday,4
ornaments,4
snowy,4
tree,4
arrangement,3
atmosphere,3
branch,3
child,3
cones,3
cozy,3
flickering,3
glowing,3
golden,3
pumpkins,3
soft,3
three,3
white,3
book,2
books,2
brick,2
candlelit,2
church,2
cosmic,2
decoration,2
decorations,2
dim,2
dining,2
flicker,2
flowers,2
hands,2
held,2
intimate,2
lantern,2
lighting,2
lights,2
open,2
rose,2
starry,2
stones,2
two,2
wall,2
aged,1
amidst,1
animals,1
another,1
apple,1
apples,1
autumn-themed,1
balloons,1
beads,1
berries,1
blowing,1
bokeh,1
bright,1
brown,1
buddha,1
campfire,1
carton,1
cauldron,1
celebration,1
citrus,1
city,1
cobblestone,1
colorful,1
cone,1
cookies,1
counter,1
curtains,1
decorative,1
dessert,1
drink,1
dusk,1
eggs,1
elegant,1
fabric,1
field,1
fireplace,1
floor,1
floral,1
glittering,1
glow,1
grassy,1
hand,1
happy,1
ignites,1
igniting,1
inside,1
inviting,1
items,1
jar,1
jars,1
kitchen,1
large,1
leaves,1
lighter,1
living,1
man,1
matchstick,1
medieval,1
menorah,1
metallic,1
mysterious,1
natural,1
neutral,1
nighttime,1
oil,1
origami,1
ornate,1
out,1
outdoors,1
people,1
petals,1
quilted,1
red-lit,1
red-patterned,1
romantic,1
sacred,1
scene,1
seashell,1
shiny,1
shrimp,1
single,1
slices,1
smiling,1
smooth,1
snow-covered,1
star,1
star-patterned,1
star-shaped,1
statue,1
stone,1
street,1
stuffed,1
tablecloth,1
towels,1
tray,1
view,1
votive,1
window,1
wine,1
women,1
